intervention_id;client_id;type_intervention;date_intervention;duree_heures;statut;technicien_id;commune;cout_intervention_eur;satisfaction_intervention
INT-001576;CLI-096333;Relève compteur;2022-10-01;0.36;Terminée;TECH-026;Saint-Benoît;413.22;10.0
INT-001577;CLI-089815;Relève compteur;2024-07-16;1.12;Terminée;TECH-044;Poitiers;570.65;8.2
INT-001578;CLI-096037;Modification puissance;2025-02-04;0.29;Planifiée;TECH-032;Poitiers;299.96;10.0
INT-001579;CLI-099444;Changement compteur;2024-07-09;1.34;Terminée;TECH-006;Châtellerault;462.5;9.3
INT-001580;CLI-096545;Mise en service;2022-02-17;0.36;Terminée;TECH-026;Poitiers;732.18;7.4
INT-001581;CLI-091959;Changement compteur;2024-12-15;1.55;Terminée;TECH-024;Poitiers;537.29;6.8
INT-001582;CLI-086630;Relève compteur;2024-12-19;0.79;Terminée;TECH-031;Poitiers;793.71;7.8
INT-001583;CLI-096236;Mise en service;2024-05-02;1.41;Terminée;TECH-031;Poitiers;491.28;7.5
INT-001584;CLI-087619;Dépannage réseau;2023-07-30;4.87;Terminée;TECH-018;Poitiers;778.65;6.3
INT-001585;CLI-091313;Mise en service;2023-08-17;1.27;Terminée;TECH-042;Poitiers;251.21;10.0
INT-001586;CLI-099671;Dépannage réseau;2023-05-06;1.38;Terminée;TECH-016;Châtellerault;426.14;4.6
INT-001587;CLI-093831;Dépannage réseau;2022-04-29;2.89;Terminée;TECH-013;Poitiers;79.95;6.6
INT-001588;CLI-089410;Raccordement neuf;2022-02-14;4.05;Terminée;TECH-038;Poitiers;179.95;7.8
INT-001589;CLI-088342;Relève compteur;2022-10-09;1.38;Terminée;TECH-037;Châtellerault;190.98;9.9
INT-001590;CLI-097454;Modification puissance;2025-05-12;1.01;Terminée;TECH-021;Chasseneuil-du-Poitou;164.68;7.4
INT-001591;CLI-095690;Mise en service;2023-06-13;0.57;Terminée;TECH-024;Chauvigny;407.59;7.0
INT-001592;CLI-096665;Mise en service;2024-10-02;0.64;Terminée;TECH-004;Poitiers;451.14;8.4
INT-001593;CLI-090268;Relève compteur;2024-12-06;0.82;Terminée;TECH-033;Châtellerault;437.72;7.4
INT-001594;CLI-097364;Mise en service;2023-06-16;0.64;Planifiée;TECH-010;Montmorillon;309.7;5.4
INT-001595;CLI-090136;Changement compteur;2022-04-17;1.6;Terminée;TECH-041;Poitiers;500.78;6.0
INT-001596;CLI-096052;Rétablissement;2024-03-31;1.97;Terminée;TECH-043;Châtellerault;199.31;6.2
INT-001597;CLI-100275;Mise en service;2022-06-20;0.3;Terminée;TECH-003;Buxerolles;612.04;6.4
INT-001598;CLI-090827;Dépannage réseau;2022-06-29;4.32;Terminée;TECH-024;Poitiers;460.53;8.9
INT-001599;CLI-091769;Changement compteur;2025-05-13;0.9;Terminée;TECH-026;Loudun;602.54;5.9
INT-001600;CLI-096181;Changement compteur;2025-02-17;1.72;Terminée;TECH-030;Neuville-de-Poitou;193.73;6.6
INT-001601;CLI-098331;Rétablissement;2024-08-05;1.49;Terminée;TECH-017;Poitiers;446.6;6.1
INT-001602;CLI-096747;Mise en service;2022-04-22;1.47;Planifiée;TECH-021;Neuville-de-Poitou;700.28;8.8
INT-001603;CLI-092175;Modification puissance;2022-06-08;0.39;Terminée;TECH-033;Chauvigny;438.81;7.7
INT-001604;CLI-093609;Coupure impayé;2023-08-22;1.52;Terminée;TECH-005;Mignaloux-Beauvoir;253.57;8.1
INT-001605;CLI-088755;Mise en service;2022-11-08;0.79;Terminée;TECH-013;Châtellerault;548.57;10.0
INT-001606;CLI-092347;Dépannage réseau;2022-01-29;3.52;Terminée;TECH-003;Poitiers;43.69;6.5
INT-001607;CLI-094837;Changement compteur;2023-11-28;0.78;Terminée;TECH-042;Montmorillon;209.04;6.7
INT-001608;CLI-092137;Mise en service;2022-02-03;1.08;Terminée;TECH-029;Buxerolles;568.24;6.3
INT-001609;CLI-094618;Coupure impayé;2023-09-23;0.59;Planifiée;TECH-017;Poitiers;307.5;5.7
INT-001610;CLI-086943;Rétablissement;2022-12-04;2.17;Terminée;TECH-044;Châtellerault;723.18;8.8
INT-001611;CLI-089602;Raccordement neuf;2022-04-21;1.53;Terminée;TECH-014;Poitiers;270.43;4.2
INT-001612;CLI-092582;Relève compteur;2025-05-23;1.46;Terminée;TECH-031;Poitiers;125.7;6.1
INT-001613;CLI-098740;Mise en service;2023-01-14;0.61;Terminée;TECH-016;Poitiers;232.92;7.2
INT-001614;CLI-097131;Rétablissement;2022-04-10;2.79;Terminée;TECH-036;Migné-Auxances;196.29;5.9
INT-001615;CLI-092590;Mise en service;2025-03-02;1.01;Terminée;TECH-010;Chauvigny;775.33;7.3
INT-001616;CLI-095242;Contrôle technique;2025-03-12;1.01;Terminée;TECH-043;Châtellerault;532.36;8.9
INT-001617;CLI-095395;Relève compteur;2023-08-10;1.13;Annulée;TECH-034;Poitiers;462.22;7.5
INT-001618;CLI-093046;Coupure impayé;2023-10-28;0.61;Terminée;TECH-014;Vivonne;692.91;5.7
INT-001619;CLI-095173;Dépannage réseau;2023-05-28;5.57;Terminée;TECH-024;Poitiers;629.22;8.4
INT-001620;CLI-095145;Raccordement neuf;2022-02-11;2.15;Planifiée;TECH-001;Saint-Benoît;173.04;3.4
INT-001621;CLI-087897;Changement compteur;2024-10-02;1.05;Planifiée;TECH-006;Buxerolles;181.12;8.1
INT-001622;CLI-095831;Maintenance préventive;2023-08-04;1.27;Terminée;TECH-039;Poitiers;703.06;7.7
INT-001623;CLI-100273;Mise en service;2025-03-05;0.6;Terminée;TECH-026;Châtellerault;650.08;10.0
INT-001624;CLI-092116;Mise en service;2024-09-25;0.96;Terminée;TECH-011;Poitiers;664.45;6.4
INT-001625;CLI-094229;Modification puissance;2023-10-26;0.38;Terminée;TECH-015;Poitiers;691.69;4.9
INT-001626;CLI-093073;Mise en service;2025-01-02;0.51;Terminée;TECH-022;Châtellerault;159.5;7.8
INT-001627;CLI-095349;Changement compteur;2022-10-31;1.26;Terminée;TECH-038;Buxerolles;281.29;8.3
INT-001628;CLI-088607;Raccordement neuf;2024-07-06;4.83;Terminée;TECH-034;Poitiers;423.27;7.1
INT-001629;CLI-087729;Relève compteur;2024-10-02;0.27;Terminée;TECH-033;Jaunay-Marigny;754.95;7.2
INT-001630;CLI-090108;Contrôle technique;2023-01-28;0.54;Terminée;TECH-037;Loudun;260.65;8.2
INT-001631;CLI-086041;Mise en service;2023-01-12;1.28;Terminée;TECH-035;Loudun;765.58;9.0
INT-001632;CLI-096896;Relève compteur;2024-02-02;0.65;Terminée;TECH-015;Châtellerault;485.77;9.1
INT-001633;CLI-096598;Dépannage réseau;2023-05-18;1.54;Terminée;TECH-014;Poitiers;240.0;6.7
INT-001634;CLI-099594;Mise en service;2022-08-22;0.47;Terminée;TECH-036;Poitiers;218.8;7.6
INT-001635;CLI-097116;Contrôle technique;2022-05-02;2.18;Terminée;TECH-006;Loudun;481.06;5.9
INT-001636;CLI-091789;Dépannage réseau;2023-01-10;4.23;Terminée;TECH-027;Châtellerault;563.43;8.3
INT-001637;CLI-100074;Relève compteur;2024-02-27;0.33;Terminée;TECH-030;Loudun;561.92;6.8
INT-001638;CLI-086341;Modification puissance;2022-05-09;1.42;Terminée;TECH-035;Poitiers;242.84;8.2
INT-001639;CLI-097656;Relève compteur;2024-10-09;0.65;Terminée;TECH-033;Poitiers;357.63;9.9
INT-001640;CLI-088889;Rétablissement;2023-01-15;1.76;Terminée;TECH-005;Saint-Benoît;48.32;7.3
INT-001641;CLI-087131;Relève compteur;2022-01-16;0.43;Terminée;TECH-032;Chauvigny;691.24;8.8
INT-001642;CLI-086109;Modification puissance;2024-02-06;1.04;Terminée;TECH-004;Lusignan;755.03;7.8
INT-001643;CLI-096085;Changement compteur;2023-01-03;1.4;Terminée;TECH-041;Buxerolles;127.1;6.5
INT-001644;CLI-094423;Changement compteur;2023-04-14;1.3;Planifiée;TECH-002;Poitiers;229.1;8.5
INT-001645;CLI-097894;Relève compteur;2023-08-27;1.02;Terminée;TECH-016;Poitiers;417.81;9.4
INT-001646;CLI-098952;Maintenance préventive;2024-03-22;1.71;Terminée;TECH-021;Poitiers;103.68;8.9
INT-001647;CLI-098272;Changement compteur;2023-06-29;0.95;Terminée;TECH-036;Poitiers;526.19;6.8
INT-001648;CLI-087095;Contrôle technique;2023-10-09;0.84;En cours;TECH-033;Chauvigny;381.11;7.3
INT-001649;CLI-098133;Relève compteur;2024-01-23;0.47;Planifiée;TECH-037;Poitiers;661.81;8.6
INT-001650;CLI-100704;Changement compteur;2023-07-13;1.99;Planifiée;TECH-001;Vivonne;147.13;10.0
INT-001651;CLI-096010;Relève compteur;2022-01-01;0.29;Terminée;TECH-004;Poitiers;697.66;6.8
INT-001652;CLI-086794;Changement compteur;2024-09-20;1.0;Terminée;TECH-038;Poitiers;723.08;9.1
INT-001653;CLI-088295;Contrôle technique;2025-04-26;2.15;Terminée;TECH-033;Poitiers;532.69;6.6
INT-001654;CLI-095480;Maintenance préventive;2022-09-09;0.8;Terminée;TECH-019;Poitiers;564.25;7.6
INT-001655;CLI-091704;Modification puissance;2025-01-25;1.44;Terminée;TECH-028;Châtellerault;185.43;10.0
INT-001656;CLI-097780;Dépannage réseau;2023-06-23;5.32;Terminée;TECH-020;Buxerolles;672.16;6.7
INT-001657;CLI-093244;Mise en service;2022-08-12;0.82;Annulée;TECH-024;Poitiers;553.22;5.2
INT-001658;CLI-100083;Relève compteur;2022-04-02;0.9;Annulée;TECH-010;Poitiers;219.95;8.2
INT-001659;CLI-099406;Modification puissance;2024-12-04;0.71;Terminée;TECH-017;Civray;610.32;8.2
INT-001660;CLI-098473;Raccordement neuf;2024-02-20;5.35;Planifiée;TECH-018;Poitiers;669.96;8.2
INT-001661;CLI-092258;Maintenance préventive;2023-01-29;2.01;Terminée;TECH-031;Poitiers;332.78;8.0
INT-001662;CLI-087926;Rétablissement;2022-09-26;2.59;Terminée;TECH-041;Mignaloux-Beauvoir;104.15;6.9
INT-001663;CLI-090774;Relève compteur;2023-01-18;0.63;Terminée;TECH-009;Chauvigny;557.55;8.0
INT-001664;CLI-099592;Changement compteur;2024-09-29;0.71;Terminée;TECH-034;Poitiers;323.55;9.0
INT-001665;CLI-094393;Changement compteur;2025-05-30;1.98;Planifiée;TECH-016;Vivonne;576.07;5.0
INT-001666;CLI-089085;Relève compteur;2022-05-28;1.34;Terminée;TECH-030;Poitiers;668.82;9.2
INT-001667;CLI-096662;Relève compteur;2024-05-22;0.91;En cours;TECH-026;Poitiers;260.47;7.6
INT-001668;CLI-087513;Mise en service;2025-02-09;0.28;Terminée;TECH-019;Buxerolles;134.34;7.5
INT-001669;CLI-096587;Mise en service;2022-04-11;0.55;Planifiée;TECH-025;Poitiers;628.98;9.0
INT-001670;CLI-097378;Mise en service;2024-07-24;0.4;Terminée;TECH-029;Poitiers;739.97;5.9
INT-001671;CLI-091730;Mise en service;2024-06-18;1.12;Terminée;TECH-010;Saint-Benoît;214.95;8.9
INT-001672;CLI-090643;Relève compteur;2023-02-27;1.16;Terminée;TECH-026;Buxerolles;762.51;7.7
INT-001673;CLI-087436;Raccordement neuf;2025-04-10;1.09;Terminée;TECH-006;Buxerolles;684.59;6.1
INT-001674;CLI-089330;Relève compteur;2022-06-18;0.8;Terminée;TECH-009;Poitiers;272.54;9.0
INT-001675;CLI-089285;Changement compteur;2024-05-13;1.93;Terminée;TECH-030;Poitiers;303.74;7.7
INT-001676;CLI-092812;Contrôle technique;2025-05-23;2.86;Terminée;TECH-038;Châtellerault;627.72;8.6
INT-001677;CLI-095909;Mise en service;2024-03-15;0.89;En cours;TECH-021;Poitiers;788.1;8.3
INT-001678;CLI-099158;Raccordement neuf;2025-01-21;2.08;Terminée;TECH-003;Poitiers;345.84;7.3
INT-001679;CLI-097893;Raccordement neuf;2024-09-26;1.07;Terminée;TECH-016;Poitiers;468.8;6.0
INT-001680;CLI-093279;Mise en service;2022-06-15;0.31;Planifiée;TECH-027;Poitiers;797.39;10.0
INT-001681;CLI-096728;Mise en service;2024-11-04;0.73;Planifiée;TECH-031;Migné-Auxances;795.72;9.4
INT-001682;CLI-097627;Contrôle technique;2023-09-10;1.61;Terminée;TECH-043;Chasseneuil-du-Poitou;664.28;5.0
INT-001683;CLI-095966;Maintenance préventive;2022-09-30;2.35;Planifiée;TECH-031;Civray;716.02;5.5
INT-001684;CLI-094162;Changement compteur;2022-08-18;0.93;Terminée;TECH-043;Neuville-de-Poitou;180.78;6.1
INT-001685;CLI-088060;Relève compteur;2022-07-07;0.95;Terminée;TECH-015;Poitiers;498.4;4.0
INT-001686;CLI-086408;Contrôle technique;2024-04-01;1.57;Terminée;TECH-044;Poitiers;544.5;5.4
INT-001687;CLI-098573;Changement compteur;2024-08-09;1.35;Terminée;TECH-024;Poitiers;723.23;5.6
INT-001688;CLI-087083;Rétablissement;2022-11-03;1.89;Terminée;TECH-004;Poitiers;504.96;6.7
INT-001689;CLI-100506;Changement compteur;2025-02-03;0.55;Terminée;TECH-027;Châtellerault;60.18;6.7
INT-001690;CLI-100062;Coupure impayé;2023-06-30;2.32;Terminée;TECH-020;Migné-Auxances;761.79;8.6
INT-001691;CLI-091173;Changement compteur;2022-02-26;1.73;Terminée;TECH-028;Vivonne;604.25;8.4
INT-001692;CLI-096452;Relève compteur;2024-02-23;0.49;Terminée;TECH-037;Poitiers;49.93;9.7
INT-001693;CLI-097684;Coupure impayé;2024-06-25;0.85;Terminée;TECH-030;Châtellerault;327.51;10.0
INT-001694;CLI-086656;Mise en service;2022-05-28;1.42;Planifiée;TECH-005;Châtellerault;728.35;7.0
INT-001695;CLI-089327;Relève compteur;2025-01-31;0.94;Terminée;TECH-043;Montmorillon;569.21;7.8
INT-001696;CLI-098797;Contrôle technique;2023-10-02;2.89;Terminée;TECH-013;Migné-Auxances;374.11;9.4
INT-001697;CLI-097755;Maintenance préventive;2024-07-04;1.57;Terminée;TECH-036;Châtellerault;611.32;7.4
INT-001698;CLI-091553;Coupure impayé;2023-03-22;0.29;Terminée;TECH-029;Poitiers;729.97;8.4
INT-001699;CLI-090347;Modification puissance;2022-08-06;1.05;En cours;TECH-001;Poitiers;325.21;9.7
INT-001700;CLI-095379;Changement compteur;2025-04-23;1.97;Terminée;TECH-003;Loudun;254.71;6.2
INT-001701;CLI-097125;Contrôle technique;2024-03-13;2.57;Terminée;TECH-030;Poitiers;295.97;6.2
INT-001702;CLI-090476;Changement compteur;2022-03-02;0.79;Terminée;TECH-043;Saint-Benoît;299.02;5.6
INT-001703;CLI-093417;Coupure impayé;2023-02-25;0.44;En cours;TECH-028;Poitiers;477.01;10.0
INT-001704;CLI-094147;Mise en service;2024-06-16;1.29;Terminée;TECH-029;Saint-Benoît;749.24;7.8
INT-001705;CLI-093957;Relève compteur;2023-03-28;1.39;Terminée;TECH-018;Poitiers;329.98;10.0
INT-001706;CLI-098316;Mise en service;2023-04-02;1.06;Terminée;TECH-001;Poitiers;348.0;2.9
INT-001707;CLI-099381;Mise en service;2024-12-09;0.49;Terminée;TECH-010;Poitiers;400.39;9.4
INT-001708;CLI-089319;Mise en service;2023-06-27;0.5;Terminée;TECH-020;Poitiers;671.51;7.2
INT-001709;CLI-097473;Raccordement neuf;2023-02-08;2.52;Terminée;TECH-011;Poitiers;740.04;7.9
INT-001710;CLI-092716;Contrôle technique;2025-01-22;0.66;Terminée;TECH-006;Châtellerault;118.81;6.4
INT-001711;CLI-096251;Mise en service;2024-08-07;1.31;Terminée;TECH-004;Saint-Benoît;89.91;7.5
INT-001712;CLI-095790;Mise en service;2024-04-21;0.38;Terminée;TECH-022;Poitiers;622.13;6.1
INT-001713;CLI-086341;Modification puissance;2024-02-25;1.42;Terminée;TECH-033;Poitiers;639.79;9.3
INT-001714;CLI-094093;Maintenance préventive;2024-09-19;0.48;Terminée;TECH-028;Châtellerault;717.91;8.3
INT-001715;CLI-097466;Dépannage réseau;2023-08-11;3.71;Terminée;TECH-006;Châtellerault;44.9;9.5
INT-001716;CLI-090992;Relève compteur;2025-02-06;0.79;En cours;TECH-026;Poitiers;608.66;9.4
INT-001717;CLI-089536;Mise en service;2023-01-31;0.45;Annulée;TECH-023;Poitiers;174.33;6.9
INT-001718;CLI-096588;Dépannage réseau;2022-02-23;5.6;Planifiée;TECH-011;Neuville-de-Poitou;477.87;5.6
INT-001719;CLI-087460;Mise en service;2025-04-01;0.31;En cours;TECH-029;Poitiers;414.29;8.1
INT-001720;CLI-086590;Maintenance préventive;2024-10-01;1.18;Terminée;TECH-042;Civray;307.84;8.1
INT-001721;CLI-100569;Contrôle technique;2023-04-11;2.18;Terminée;TECH-042;Poitiers;698.57;4.6
INT-001722;CLI-095021;Mise en service;2022-11-06;0.54;Terminée;TECH-042;Poitiers;48.24;8.7
INT-001723;CLI-094198;Contrôle technique;2024-06-09;0.34;Terminée;TECH-031;Migné-Auxances;278.84;5.3
INT-001724;CLI-088310;Rétablissement;2024-01-15;0.9;Terminée;TECH-007;Châtellerault;550.3;7.0
INT-001725;CLI-095354;Maintenance préventive;2025-02-21;2.32;Terminée;TECH-019;Châtellerault;534.42;9.9
INT-001726;CLI-087185;Mise en service;2023-03-02;0.54;Terminée;TECH-034;Poitiers;147.33;10.0
INT-001727;CLI-087347;Relève compteur;2024-04-28;0.93;Terminée;TECH-007;Poitiers;739.53;7.2
INT-001728;CLI-091993;Relève compteur;2023-06-02;1.37;Planifiée;TECH-029;Poitiers;135.94;6.0
INT-001729;CLI-098965;Dépannage réseau;2024-12-10;5.94;Terminée;TECH-010;Poitiers;425.89;8.2
INT-001730;CLI-090381;Relève compteur;2022-12-09;0.92;Terminée;TECH-024;Montmorillon;495.34;8.4
INT-001731;CLI-095624;Dépannage réseau;2025-05-27;2.91;Terminée;TECH-028;Poitiers;413.58;10.0
INT-001732;CLI-097867;Raccordement neuf;2024-06-10;5.45;Terminée;TECH-001;Poitiers;619.37;4.9
INT-001733;CLI-092969;Dépannage réseau;2022-04-11;4.15;Planifiée;TECH-042;Poitiers;128.18;5.7
INT-001734;CLI-091037;Relève compteur;2023-08-14;0.92;Terminée;TECH-036;Châtellerault;636.76;8.0
INT-001735;CLI-091819;Raccordement neuf;2022-06-20;3.03;Planifiée;TECH-035;Buxerolles;666.99;6.4
INT-001736;CLI-090064;Relève compteur;2024-05-08;1.01;Terminée;TECH-044;Poitiers;111.25;7.9
INT-001737;CLI-092096;Relève compteur;2022-03-23;0.55;Planifiée;TECH-044;Loudun;80.39;9.6
INT-001738;CLI-100842;Contrôle technique;2024-01-25;2.89;Terminée;TECH-040;Poitiers;733.37;10.0
INT-001739;CLI-093629;Contrôle technique;2023-02-16;0.4;Terminée;TECH-036;Saint-Benoît;325.27;8.9
INT-001740;CLI-093445;Dépannage réseau;2022-04-13;4.65;Terminée;TECH-006;Poitiers;691.39;8.7
INT-001741;CLI-095027;Mise en service;2022-02-22;0.74;Annulée;TECH-044;Châtellerault;773.21;6.9
INT-001742;CLI-098080;Coupure impayé;2023-06-27;1.86;En cours;TECH-028;Chauvigny;442.96;8.7
INT-001743;CLI-097959;Contrôle technique;2023-03-16;2.01;Terminée;TECH-037;Saint-Benoît;470.89;7.0
INT-001744;CLI-087723;Relève compteur;2022-11-07;1.04;Terminée;TECH-029;Châtellerault;565.38;4.6
INT-001745;CLI-097881;Relève compteur;2022-12-10;1.09;Planifiée;TECH-024;Poitiers;497.55;7.5
INT-001746;CLI-089712;Contrôle technique;2024-02-12;2.71;Terminée;TECH-012;Saint-Benoît;297.56;10.0
INT-001747;CLI-087977;Contrôle technique;2022-04-10;1.0;Terminée;TECH-008;Migné-Auxances;509.91;7.7
INT-001748;CLI-094237;Dépannage réseau;2025-04-06;5.63;Terminée;TECH-038;Poitiers;57.51;3.8
INT-001749;CLI-100992;Mise en service;2022-07-14;0.33;Terminée;TECH-015;Châtellerault;121.76;7.3
INT-001750;CLI-091365;Dépannage réseau;2022-12-15;1.97;Terminée;TECH-039;Poitiers;717.38;3.9
INT-001751;CLI-097867;Relève compteur;2022-08-07;0.72;Terminée;TECH-041;Loudun;213.22;8.5
INT-001752;CLI-086309;Rétablissement;2022-10-29;1.4;Terminée;TECH-012;Poitiers;668.99;7.4
INT-001753;CLI-091398;Mise en service;2023-06-03;0.53;Planifiée;TECH-039;Châtellerault;798.18;6.8
INT-001754;CLI-088361;Relève compteur;2023-10-03;0.65;Terminée;TECH-014;Poitiers;632.16;5.7
INT-001755;CLI-098982;Raccordement neuf;2023-02-06;4.46;Terminée;TECH-041;Poitiers;72.74;7.5
INT-001756;CLI-092944;Relève compteur;2023-10-29;1.45;Terminée;TECH-009;Poitiers;577.0;8.7
INT-001757;CLI-096812;Dépannage réseau;2023-11-12;4.47;Terminée;TECH-026;Loudun;105.64;8.0
INT-001758;CLI-100733;Relève compteur;2022-11-09;0.48;Terminée;TECH-030;Saint-Benoît;702.47;4.7
INT-001759;CLI-091402;Changement compteur;2024-01-19;1.02;Terminée;TECH-005;Civray;551.4;7.3
INT-001760;CLI-098444;Dépannage réseau;2025-01-16;1.08;Terminée;TECH-003;Poitiers;506.91;8.2
INT-001761;CLI-097794;Modification puissance;2022-06-02;1.23;Terminée;TECH-043;Neuville-de-Poitou;466.08;5.5
INT-001762;CLI-090409;Dépannage réseau;2023-07-24;4.91;Terminée;TECH-011;Châtellerault;677.24;9.2
INT-001763;CLI-091392;Relève compteur;2024-01-25;1.47;Terminée;TECH-037;Poitiers;744.67;4.3
INT-001764;CLI-089023;Modification puissance;2024-10-24;0.28;Terminée;TECH-038;Poitiers;72.62;5.9
INT-001765;CLI-092532;Coupure impayé;2024-10-11;1.86;Terminée;TECH-001;Châtellerault;494.43;7.6
INT-001766;CLI-099217;Dépannage réseau;2024-07-22;1.52;Terminée;TECH-029;Poitiers;761.78;6.6
INT-001767;CLI-096479;Contrôle technique;2022-08-14;1.29;En cours;TECH-013;Poitiers;93.73;2.7
INT-001768;CLI-087994;Dépannage réseau;2024-09-26;1.96;Terminée;TECH-041;Poitiers;581.9;7.8
INT-001769;CLI-086532;Relève compteur;2024-04-06;1.28;Annulée;TECH-032;Poitiers;587.32;7.7
INT-001770;CLI-097592;Changement compteur;2024-05-23;1.42;Terminée;TECH-011;Poitiers;555.37;7.8
INT-001771;CLI-094251;Raccordement neuf;2025-02-21;4.01;Annulée;TECH-006;Châtellerault;427.67;7.9
INT-001772;CLI-087830;Dépannage réseau;2023-08-29;3.92;Terminée;TECH-002;Poitiers;481.23;8.0
INT-001773;CLI-092808;Changement compteur;2025-04-30;0.83;En cours;TECH-019;Châtellerault;724.67;10.0
INT-001774;CLI-100418;Mise en service;2023-01-31;0.26;Terminée;TECH-017;Châtellerault;763.43;6.0
INT-001775;CLI-095940;Changement compteur;2022-08-25;1.92;Terminée;TECH-006;Poitiers;794.84;10.0
INT-001776;CLI-092531;Maintenance préventive;2024-05-26;1.07;Annulée;TECH-012;Montmorillon;274.45;8.1
INT-001777;CLI-089441;Maintenance préventive;2022-11-06;1.63;Terminée;TECH-043;Châtellerault;202.6;7.0
INT-001778;CLI-098214;Relève compteur;2024-03-13;1.29;Terminée;TECH-032;Saint-Benoît;499.1;7.2
INT-001779;CLI-090056;Coupure impayé;2022-02-21;0.54;Planifiée;TECH-003;Poitiers;166.52;3.8
INT-001780;CLI-088274;Coupure impayé;2022-11-26;1.6;Terminée;TECH-005;Poitiers;80.83;7.6
INT-001781;CLI-096821;Rétablissement;2022-08-19;0.29;Terminée;TECH-024;Poitiers;630.2;7.0
INT-001782;CLI-090715;Changement compteur;2024-05-02;1.75;Terminée;TECH-006;Poitiers;511.4;7.0
INT-001783;CLI-098555;Relève compteur;2024-01-30;1.43;Terminée;TECH-013;Châtellerault;190.83;6.7
INT-001784;CLI-087834;Rétablissement;2022-03-16;2.89;Annulée;TECH-026;Neuville-de-Poitou;167.05;6.4
INT-001785;CLI-093932;Contrôle technique;2024-10-11;1.02;Terminée;TECH-023;Poitiers;89.93;8.6
INT-001786;CLI-093866;Relève compteur;2024-05-23;0.29;Terminée;TECH-021;Montmorillon;761.94;9.6
INT-001787;CLI-090935;Raccordement neuf;2023-10-22;5.25;Terminée;TECH-033;Poitiers;536.37;10.0
INT-001788;CLI-091505;Maintenance préventive;2024-11-16;2.32;Terminée;TECH-003;Chauvigny;416.76;4.7
INT-001789;CLI-089958;Mise en service;2022-05-05;0.85;Terminée;TECH-029;Châtellerault;352.85;7.3
INT-001790;CLI-100629;Relève compteur;2024-02-04;0.46;En cours;TECH-036;Poitiers;722.0;9.0
INT-001791;CLI-094788;Rétablissement;2022-12-26;1.66;Terminée;TECH-035;Mignaloux-Beauvoir;176.52;7.3
INT-001792;CLI-098281;Contrôle technique;2024-12-21;1.17;Terminée;TECH-017;Poitiers;147.17;6.2
INT-001793;CLI-088463;Contrôle technique;2023-12-05;1.15;Terminée;TECH-019;Jaunay-Marigny;180.54;7.3
INT-001794;CLI-100444;Mise en service;2024-09-05;0.46;Terminée;TECH-009;Poitiers;44.68;8.0
INT-001795;CLI-097456;Contrôle technique;2023-12-06;0.94;Terminée;TECH-027;Migné-Auxances;432.52;7.7
INT-001796;CLI-095872;Relève compteur;2024-10-04;0.8;En cours;TECH-041;Loudun;91.03;9.5
INT-001797;CLI-091052;Relève compteur;2025-03-07;0.5;Terminée;TECH-036;Poitiers;217.14;7.3
INT-001798;CLI-091862;Modification puissance;2023-11-02;0.65;Terminée;TECH-035;Migné-Auxances;504.74;6.4
INT-001799;CLI-099809;Mise en service;2023-08-27;0.42;Terminée;TECH-012;Poitiers;285.36;8.0
INT-001800;CLI-086619;Mise en service;2023-07-15;1.5;Terminée;TECH-044;Poitiers;115.78;9.1
INT-001801;CLI-093640;Dépannage réseau;2024-08-21;1.16;Terminée;TECH-002;Chasseneuil-du-Poitou;567.42;8.7
INT-001802;CLI-091569;Relève compteur;2023-04-23;1.21;Terminée;TECH-032;Migné-Auxances;220.14;6.1
INT-001803;CLI-086274;Mise en service;2024-03-11;1.48;Terminée;TECH-002;Poitiers;78.27;8.5
INT-001804;CLI-097161;Relève compteur;2024-08-07;0.97;Terminée;TECH-011;Poitiers;60.68;7.6
INT-001805;CLI-088293;Contrôle technique;2024-05-07;2.4;Terminée;TECH-019;Loudun;410.38;7.5
INT-001806;CLI-089386;Rétablissement;2024-08-09;0.87;Terminée;TECH-040;Poitiers;671.25;5.5
INT-001807;CLI-092362;Changement compteur;2024-01-31;1.57;Terminée;TECH-022;Buxerolles;303.32;7.5
INT-001808;CLI-089705;Contrôle technique;2023-09-20;0.67;Terminée;TECH-005;Poitiers;54.41;5.2
INT-001809;CLI-095533;Dépannage réseau;2023-07-26;4.86;Annulée;TECH-008;Poitiers;144.52;7.4
INT-001810;CLI-095582;Changement compteur;2022-09-01;1.24;Terminée;TECH-022;Poitiers;247.18;8.6
INT-001811;CLI-093521;Mise en service;2023-04-23;0.46;Terminée;TECH-040;Montmorillon;210.92;9.8
INT-001812;CLI-096421;Maintenance préventive;2025-04-11;2.86;Terminée;TECH-024;Poitiers;520.47;10.0
INT-001813;CLI-092629;Dépannage réseau;2024-04-29;2.0;Terminée;TECH-034;Châtellerault;355.64;6.7
INT-001814;CLI-094696;Relève compteur;2022-08-14;0.31;Terminée;TECH-024;Châtellerault;730.02;9.5
INT-001815;CLI-086588;Relève compteur;2024-12-10;1.5;Terminée;TECH-030;Poitiers;363.81;8.4
INT-001816;CLI-096917;Mise en service;2024-11-17;0.46;En cours;TECH-025;Saint-Benoît;182.55;5.9
INT-001817;CLI-086845;Raccordement neuf;2025-03-13;4.65;Terminée;TECH-010;Chasseneuil-du-Poitou;622.82;7.7
INT-001818;CLI-094766;Changement compteur;2022-04-03;1.37;Annulée;TECH-029;Poitiers;789.33;7.7
